# %ECSV 0.9
# ---
# datatype:
# - name: Filename
#   datatype: string
# - name: EL
#   datatype: float64
# - name: PA
#   datatype: float64
# - name: RotAng
#   datatype: float64
# - name: GuiderCoord
#   datatype: string
# - name: ImageCoord
#   datatype: string
# - name: OffsetDistance
#   datatype: float64
# - name: OffsetAngle
#   datatype: float64
# schema: astropy-2.0
Filename EL PA RotAng GuiderCoord ImageCoord OffsetDistance OffsetAngle
m191019_0135.fits 75.66531126 22.21994533 -171.70152745 "01:13:07.03 +33:47:03.69" "01:12:52.60 +33:41:46.31" 364.82210059 7.30946469688
m191019_0136.fits 75.68642761 67.22000905 -125.03544506 "01:13:07.03 +33:47:03.69" "01:12:38.84 +33:45:25.75" 364.88024821 7.17692318766
m191019_0137.fits 75.68308113 112.21995797 -78.28429875 "01:13:07.03 +33:47:03.69" "01:12:41.51 +33:50:03.37" 365.266346217 7.21739229793
m191019_0138.fits 75.68268673 157.22008716 -31.96520981 "01:13:07.03 +33:47:03.69" "01:12:59.15 +33:52:55.40" 365.137457046 7.1827370565
m191019_0139.fits 75.77255282 202.21993806 15.82106605 "01:13:07.03 +33:47:03.69" "01:13:21.48 +33:52:21.39" 365.184526047 7.34241901808
m191019_0140.fits 75.8632586 247.21994488 62.2536346 "01:13:07.03 +33:47:03.69" "01:13:35.24 +33:48:41.25" 365.000879684 7.31024025395
m191019_0141.fits 75.83538073 202.220175 19.84765258 "01:13:07.03 +33:47:03.69" "01:13:21.49 +33:52:21.51" 365.344327843 7.34685613151
m191019_0142.fits 75.83387366 157.2202083 -23.19282994 "01:13:07.03 +33:47:03.69" "01:12:59.16 +33:52:55.57" 365.273263716 7.20673541081
m191019_0143.fits 75.87579607 112.22019698 -66.29761681 "01:13:07.03 +33:47:03.69" "01:12:41.52 +33:50:03.22" 365.113496473 7.20329583976
m191019_0144.fits 75.93281531 67.21979914 -109.30753788 "01:13:07.03 +33:47:03.69" "01:12:38.85 +33:45:25.79" 364.760900116 7.17915099742
m191019_0145.fits 75.97263971 22.2200427 -152.92305741 "01:13:07.03 +33:47:03.69" "01:12:52.61 +33:41:46.26" 364.840920407 7.29955544208
m191019_0146.fits 75.90053517 22.2199811 -149.95973 "01:13:07.03 +33:47:03.69" "01:12:52.61 +33:41:46.25" 364.855827125 7.30077188347
m191019_0147.fits 75.86539202 22.21992543 -148.8629311 "01:13:07.03 +33:47:03.69" "01:12:52.60 +33:41:46.24" 364.874601142 7.30260391061
m191019_0148.fits 75.8100382 -22.77997718 -192.06340775 "01:13:07.03 +33:47:03.69" "01:13:14.87 +33:41:12.20" 364.857711682 7.23237129387
m191019_0149.fits 75.77408501 -22.77987865 -191.22510514 "01:13:07.03 +33:47:03.69" "01:13:14.87 +33:41:12.27" 364.788003405 7.23077488384
m191019_0150.fits 75.63079621 -67.77995131 -234.22042355 "01:13:07.03 +33:47:03.69" "01:13:32.49 +33:44:03.84" 364.943116954 7.33476362581
m191019_0151.fits 75.46226718 -112.78001433 -277.62939724 "01:13:07.03 +33:47:03.69" "01:13:35.24 +33:48:41.14" 364.949480444 7.32471484814
m191019_0152.fits 75.25277005 -157.78074215 -320.43064675 "01:13:07.03 +33:47:03.69" "01:13:21.50 +33:52:21.55" 365.452422951 7.3648656388
m191019_0153.fits 75.12258427 -157.77985612 -318.68734249 "01:13:07.03 +33:47:03.69" "01:13:21.49 +33:52:21.54" 365.422250854 7.35874170393
m191019_0154.fits 74.92303232 -202.77987373 -361.48471531 "01:13:07.03 +33:47:03.69" "01:12:59.16 +33:52:55.53" 365.252258474 7.19890247554
m191019_0157.fits 74.50355349 -247.78000747 -401.85243878 "01:13:07.03 +33:47:03.69" "01:12:41.52 +33:50:03.35" 365.147951788 7.22471744886
m191019_0158.fits 74.27403487 -202.77999675 -355.28294739 "01:13:07.03 +33:47:03.69" "01:12:59.15 +33:52:55.44" 365.177041185 7.18851386089
m191019_0159.fits 74.11018701 -157.77997864 -308.83339581 "01:13:07.03 +33:47:03.69" "01:13:21.49 +33:52:21.55" 365.38969715 7.34842810304
m191019_0160.fits 73.96430958 -112.780105 -262.2042149 "01:13:07.03 +33:47:03.69" "01:13:35.24 +33:48:41.29" 364.998565985 7.30362512535
m191019_0161.fits 73.83386738 -67.7798647 -215.71800217 "01:13:07.03 +33:47:03.69" "01:13:32.47 +33:44:03.87" 364.70593714 7.34975199294
m191019_0162.fits 73.65055334 -22.77999654 -169.22120365 "01:13:07.03 +33:47:03.69" "01:13:14.85 +33:41:12.15" 364.850758229 7.26669144229
m191019_0163.fits 73.39416431 22.22009091 -122.77683338 "01:13:07.03 +33:47:03.69" "01:12:52.61 +33:41:46.28" 364.784946009 7.28916399216
m191019_0164.fits 73.12467367 67.22028227 -76.65769562 "01:13:07.03 +33:47:03.69" "01:12:38.84 +33:45:25.77" 364.830011905 7.17857738346
m191019_0165.fits 72.87502023 112.22002985 -30.76244435 "01:13:07.03 +33:47:03.69" "01:12:41.52 +33:50:03.25" 365.123118314 7.20737153485
m191019_0166.fits 72.63933841 157.22007933 15.23380676 "01:13:07.03 +33:47:03.69" "01:12:59.17 +33:52:55.47" 365.15540197 7.21809443323
m191019_0167.fits 72.47176858 202.22005965 61.19794574 "01:13:07.03 +33:47:03.69" "01:13:21.51 +33:52:21.52" 365.490326484 7.38327290384
m191019_0168.fits 33.47316389 283.21998429 46.19515625 "05:16:56.00 +67:45:59.36" "05:17:56.12 +67:43:50.95" 364.800872189 7.50667225528
m191019_0169.fits 33.58712308 238.2200883 1.75961319 "05:16:56.00 +67:45:59.36" "05:17:54.57 +67:48:30.12" 364.751694094 7.47915261265
m191019_0170.fits 33.73188083 193.22002134 -42.75646195 "05:16:56.00 +67:45:59.36" "05:17:18.61 +67:51:41.22" 365.056878683 7.35909840919
m191019_0171.fits 33.92852312 148.22020492 -87.27538952 "05:16:56.00 +67:45:59.36" "05:16:29.17 +67:51:30.99" 364.789742719 7.10801644643
m191019_0172.fits 34.14539329 103.22010267 -131.79480061 "05:16:56.00 +67:45:59.36" "05:15:55.61 +67:48:06.28" 365.254999695 6.99687573024
m191019_0173.fits 34.31555424 58.22022098 -176.3982285 "05:16:56.00 +67:45:59.36" "05:15:57.52 +67:43:27.08" 365.49092453 7.04329813171
m191019_0174.fits 34.4266067 13.2202078 -221.01204762 "05:16:56.00 +67:45:59.36" "05:16:33.46 +67:40:16.33" 366.201849097 7.22728043297
m191019_0175.fits 34.49097621 -31.77995909 -265.59444699 "05:16:56.00 +67:45:59.36" "05:17:22.53 +67:40:26.91" 365.076738787 7.42415378218
